Listing title,eBay item ID,Current promoted listings status,Quantity available,Total impressions on eBay site,Top 20 search slot impressions from promoted listings,% change in top 20 search slot impressions from promoted listings,Top 20 search slot organic impressions,% change in top 20 search slot impressions,Rest of search slot impressions,Non-search promoted listings impressions,% Change in non-search promoted listings impressions,Non-search organic impressions,% Change in non-search organic impressions,Total promoted listings impressions (applies to eBay site only),Total organic impressions on eBay site,Total page views,Page views via promoted listings impressions on eBay site,"Page views via promoted listings Impressions from outside eBay (search engines, affilliates)",Page views via organic impressions on eBay site,Page views from organic impressions outside eBay (Includes page views from search engines),Click-through rate = Page views from eBay site/Total impressions,Quantity sold,Sales conversion rate = Quantity sold/Total page views
380ml Mini Blender Portable Juicer Cup USB Rechargeable Fruit Smoothies Mixer US,404008226957,Promoted,40,"14,008",80,-39.40%,226,-12.30%,"1,286","10,489",2.20%,"1,927",-31.00%,"10,934","3,074",20,5,0,11,4,0.10%,0,0.00%
100pcs Luminous Wall Stickers Glow In The Dark Stars Stickers For Kids Baby Room,404089024783,Promoted,40,163,0,-,3,200.00%,18,137,121.00%,5,-37.50%,142,21,0,0,0,0,0,0.00%,0,-
Folding Remote Car Key Shell Case for Toyota Corolla RAV4 Camry Avlon Scion,404117480504,Promoted,40,146,4,100.00%,7,120.00%,8,61,38.60%,66,-53.80%,66,80,1,0,0,0,1,0.00%,0,0.00%
Remote Car Key M3N32337100 315Mhz For GMC/Chevrolet Silverado 1500 2500 3500,404117498264,Promoted,40,134,2,0.00%,1,-78.60%,26,84,82.60%,21,200.00%,88,46,4,2,0,0,2,1.50%,0,0.00%
"RGBIC LED Neon Rope Light with Music Sync, Smart App, Alexa & Google Compatible",404123253272,Promoted,40,852,11,0.00%,20,-39.20%,137,489,-52.70%,195,-59.60%,529,323,1,0,0,0,1,0.00%,0,0.00%
20FT High Bright Solar LED String Lights 20 Waterproof S14 Bulbs Outdoor Garden,404123289710,Promoted,40,712,9,50.00%,16,25.00%,74,512,170.90%,101,5.20%,542,170,3,2,0,1,0,0.40%,0,0.00%
MT-16 Extend Tablet Tripod with Cold Shoe for Microphone LED Video Fill Light Sm,404238937456,Promoted,40,"1,020",5,-50.00%,7,-63.60%,117,853,500.70%,38,8.60%,886,134,2,2,0,0,0,0.20%,0,0.00%
J12 Wireless Lavalier Microphone System Mini Mic iPhone Android Live Broadcast,404238942921,Promoted,40,500,20,17.60%,19,-27.80%,164,221,1.80%,76,-11.60%,261,239,1,0,0,0,1,0.00%,0,0.00%
Men's Backpack Multifunctional Waterproof Bags For Male Business Laptop Backpack,403868133641,Promoted,39,"1,244",3,0.00%,14,-43.30%,156,966,46.60%,105,-44.70%,980,264,2,1,0,1,0,0.20%,0,0.00%
Portable Outdoor Gas Camping Stove Cooking System For Camping Hunting Fishing,403847663186,Promoted,30,910,3,50.00%,7,66.70%,29,849,141.20%,22,-21.40%,858,52,0,0,0,0,0,0.00%,0,-
9005/HB3 LED Headlight 20000LM CSP Chip 12v LED 4300K 6500K 8000K Low Beam,403853521752,Promoted,30,146,0,-100.00%,18,63.60%,39,49,-41.00%,40,-13.00%,52,94,1,0,0,1,0,0.70%,0,0.00%
Sur Ron X Side Fender Upgrade - Extended Length - Fits Light Bee X S Models,403878070386,Promoted,30,"14,095",112,-53.10%,647,-26.60%,"1,625","8,611",164.70%,"3,100",-32.30%,"9,029","5,066",77,21,0,53,3,0.50%,3,3.90%
Sur Ron X Rear Fender Upgrade Extended Rear Fender For Sur Ron Light Bee X S,403878070387,Promoted,30,"7,057",52,-21.20%,129,-20.30%,507,"5,617",425.00%,752,-23.50%,"5,750","1,307",13,1,0,9,3,0.10%,0,0.00%
SONOFF Zigbee 3.0 USB Dongle Plus Stick Smart Universal ZHA Gateway Home Bridge,403881257588,Promoted,30,"1,682",8,-50.00%,144,0.70%,457,498,-1.00%,575,-25.70%,536,"1,146",12,0,2,7,3,0.40%,0,0.00%
Digital AC/DC Voltage Detector Test Pen Smart Non-Contact Tester Pen 12-1000V,403908182206,Promoted,30,181,0,-100.00%,5,-64.30%,46,103,2.00%,27,35.00%,105,76,0,0,0,0,0,0.00%,0,-
Microfiber Cleaning Cloth Rag Car Wash Detailing Towel Kitchen Dusting Bathroom,404090917599,Promoted,30,332,1,-83.30%,18,-44.10%,124,101,-67.40%,88,-69.30%,106,226,2,0,0,2,0,0.60%,0,0.00%
E-Collar Electric Dog Training Collar Remote Control Dog Collar with Vibration,404115009836,Promoted,30,113,3,200.00%,13,220.00%,50,23,35.30%,24,140.00%,28,85,1,0,0,1,0,0.90%,0,0.00%
MT-11 Flexible Octopus Tripod Smartphone DSLR SLR Vlog Travel Portable Tripod,404238927399,Promoted,30,490,1,0.00%,3,-60.00%,27,334,384.10%,125,38.90%,339,151,0,0,0,0,0,0.00%,0,-
USB Type C Video Converter Cable 4K USB 3 HDTV Adapter Type C To HDMI,404311562166,Promoted,30,17,0,100.00%,1,-,1,11,100.00%,4,100.00%,11,6,0,0,0,0,0,0.00%,0,-
4G LTE Wireless USB Dongle 150Mbps Modem Stick 4G Sim Card Wireless Wifi Adapter,404311563827,Promoted,30,36,0,100.00%,1,-,5,20,100.00%,10,100.00%,22,14,1,0,0,0,1,0.00%,0,0.00%
1.3L 2.3L Kettle Camping Cookware Outdoor Cooking Set Pots Kettle,404312825274,Promoted,30,9,1,100.00%,0,-,4,3,100.00%,1,100.00%,4,5,0,0,0,0,0,0.00%,0,-
Gas Camping Stove Outdoor Burner Jet Boil Cooker Survival Stove Furnace,404312830382,Promoted,30,374,1,100.00%,18,-,29,317,100.00%,9,100.00%,326,48,3,0,0,3,0,0.80%,0,0.00%
H11 LED Headlight 20000LM CSP Chip 12v LED 4300K 6500K 8000K Low Beam,403853521750,Promoted,28,580,6,-14.30%,72,-11.40%,145,167,-79.00%,190,-47.10%,178,402,5,2,0,3,0,0.90%,0,0.00%
Squeegee For Shower Mirror Window Glass Door Home Office House Cleaner Car Glass,403881076709,Promoted,20,243,7,250.00%,14,-16.00%,122,72,-23.40%,28,-40.40%,88,155,0,0,0,0,0,0.00%,0,-
110V 60W Electric Soldering Iron Gun Tool Kit Welding Desoldering Pump Tools Set,403960513769,Promoted,20,"1,153",0,-100.00%,6,-14.30%,66,"1,017",-6.40%,64,-42.90%,"1,022",131,1,1,0,0,0,0.10%,0,0.00%
3'' Inch 40W LED Cube Pods Ditch Lights Spot Work Light Bar Square Fog Light,403976630412,Promoted,20,428,2,0.00%,6,-65.20%,76,198,-60.30%,146,8.10%,204,224,6,1,0,5,0,1.40%,0,0.00%
Portable Electric Juicer Blender USB Rechargeable Handheld Mini Blender,404008242187,Promoted,20,"3,552",66,-5.70%,109,10.10%,823,"1,615",14.50%,939,43.80%,"2,068","1,484",11,3,0,5,3,0.20%,0,0.00%
3L Cat Water Fountain Auto Recirculate Filtering Cat USB Water Dispenser,404088982175,Promoted,20,34,1,-,0,-,16,8,33.30%,9,-92.60%,9,25,0,0,0,0,0,0.00%,0,-
Car Window Windshield Cleaning Tool - Microfiber Wiper Cleaner Glass Brush,404090954184,Promoted,20,112,0,-,1,0.00%,15,77,60.40%,19,-26.90%,79,33,0,0,0,0,0,0.00%,0,-
Autel Maxicom MK808 OBD2 Scanner Car Diagnostic Tool Active Test & Code Reading,404120041699,Promoted,20,"4,964",12,100.00%,285,-10.80%,732,"2,445",63.30%,"1,490",-3.90%,"2,483","2,481",10,4,0,6,0,0.20%,0,0.00%
9PCS Auto Detailing Kit Car Wash Cleaning Tools Towels Sponge Gloves Polish Pads,404172586740,Promoted,20,914,9,350.00%,50,68.60%,265,216,-16.90%,374,8.40%,235,679,12,1,1,9,1,1.10%,0,0.00%
TELESIN Adjustable Space Waterproof Carrying Bag for Gopro/Insta360/Osmo Action,404189646646,Promoted,20,811,10,100.00%,12,175.00%,50,531,31.80%,208,20.90%,565,246,2,2,0,0,0,0.30%,0,0.00%
Ultralight LED Headlamp Super Bright Hiking Camping Lights USB Rechargeable,404312769502,Promoted,20,8,0,100.00%,4,-,1,2,100.00%,1,100.00%,2,6,0,0,0,0,0,0.00%,0,-
Portable Paperless Drip/Pourover Coffee Maker Perfect For Camping/Office/Home,403844676430,Promoted,19,"1,349",15,150.00%,22,54.20%,198,956,132.00%,158,-19.80%,"1,027",322,5,1,0,2,2,0.20%,0,0.00%
Black Kitchen Faucet Swivel Single Handle Sink Pull Down Sprayer Mixer Tap,403947101103,Promoted,19,"5,047",1,0.00%,46,-24.20%,138,"4,561",94.30%,301,-37.90%,"4,566",481,2,1,0,1,0,0.00%,0,0.00%
HTC Rechargeable Electric Men's Hair Trimmer/Clipper For Body Grooming E-Razor,403844062873,Promoted,10,"1,597",13,30.00%,54,0.00%,109,"1,033",92.70%,388,183.20%,"1,054",543,17,2,0,9,6,0.70%,1,5.90%
USB Rechargeable Water Flosser Portable Oral Water Jet Teeth Cleaner 300ML Tank,403844087449,Promoted,10,244,3,0.00%,2,25.00%,52,181,-7.70%,6,200.00%,200,44,0,0,0,0,0,0.00%,0,-
Powerful Mini Cordless Handheld Vacuum Cleaner Car Home Desk USB Rechargeable,403844819500,Promoted,10,485,11,120.00%,17,-12.50%,184,183,7.00%,90,-46.10%,209,276,5,0,0,0,5,0.00%,0,0.00%
Portable Cordless Electric Air Duster / Wireless Air Duster For Cars Home Office,403844898304,Promoted,10,112,6,-14.30%,7,-40.90%,78,11,-52.20%,10,11.10%,44,68,1,0,0,0,1,0.00%,0,0.00%
150PSI 12V Electric Portable Air Compressor Air Pump Auto Tire Inflator For Cars,403849675407,Promoted,10,220,7,-53.30%,11,-45.50%,103,85,-88.80%,14,-85.10%,117,103,1,1,0,0,0,0.40%,0,0.00%
