Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Views (future),Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"403856482823",5Pcs Car Detailing Brush Set For Wheels Tire Interior Exterior Leather Air Vents,,,"10","FIXED_PRICE","USD",9.73,,,9.73,"2","","0","","Aug-28-22 21:49:46 PDT","Jun-28-23 21:49:46 PDT","Other Automotive Care Supplies","179462","","","NEW","","US","","",""
"403856495796",4PCS Universal LED Motorcycle Blinker Turn Signal Light 12v IP68 Waterproof,,,"10","FIXED_PRICE","USD",14.27,,,14.27,"0","","0","","Aug-28-22 22:12:11 PDT","Jun-28-23 22:12:11 PDT","Other Lighting & Lamps","178027","","","NEW","","US","","",""
"403857259309",Universal Motorcycle Rear View Mirrors CNC Bar End Handlebar Rear View Mirrors,Color=Black;Blue;Gold;Orange;Silver;Red,,"60","FIXED_PRICE","USD",24.98,,,24.98,"2","","0","","Aug-29-22 09:43:29 PDT","Jun-29-23 09:43:29 PDT","Other Handlebars, Grips & Controls","178009","","","NEW","","US","744110524475","0744110524475","Does not apply"
"403857259309",Universal Motorcycle Rear View Mirrors CNC Bar End Handlebar Rear View Mirrors,Color=Orange,2251832633670551_200002130,"10","FIXED_PRICE","USD",24.98,,,,"2",,,,"Aug-29-22 09:43:29 PDT","Jun-29-23 09:43:29 PDT","Other Handlebars, Grips & Controls","178009","","","NEW","","US","744110524475","0744110524475","Does not apply"
"403857259309",Universal Motorcycle Rear View Mirrors CNC Bar End Handlebar Rear View Mirrors,Color=Silver,2251832633670551_200001951,"10","FIXED_PRICE","USD",24.98,,,,"0",,,,"Aug-29-22 09:43:29 PDT","Jun-29-23 09:43:29 PDT","Other Handlebars, Grips & Controls","178009","","","NEW","","US","313053992971","0313053992971","Does not apply"
"403857259309",Universal Motorcycle Rear View Mirrors CNC Bar End Handlebar Rear View Mirrors,Color=Black,2251832633670551_200001438,"10","FIXED_PRICE","USD",24.98,,,,"0",,,,"Aug-29-22 09:43:29 PDT","Jun-29-23 09:43:29 PDT","Other Handlebars, Grips & Controls","178009","","","NEW","","US","744759094766","0744759094766","Does not apply"
"403857259309",Universal Motorcycle Rear View Mirrors CNC Bar End Handlebar Rear View Mirrors,Color=Blue,2251832633670551_350850,"10","FIXED_PRICE","USD",24.98,,,,"0",,,,"Aug-29-22 09:43:29 PDT","Jun-29-23 09:43:29 PDT","Other Handlebars, Grips & Controls","178009","","","NEW","","US","744759484789","0744759484789","Does not apply"
"403857259309",Universal Motorcycle Rear View Mirrors CNC Bar End Handlebar Rear View Mirrors,Color=Gold,2251832633670551_10,"10","FIXED_PRICE","USD",24.98,,,,"0",,,,"Aug-29-22 09:43:29 PDT","Jun-29-23 09:43:29 PDT","Other Handlebars, Grips & Controls","178009","","","NEW","","US","744110318524","0744110318524","Does not apply"
"403857259309",Universal Motorcycle Rear View Mirrors CNC Bar End Handlebar Rear View Mirrors,Color=Red,2251832633670551_173,"10","FIXED_PRICE","USD",24.98,,,,"0",,,,"Aug-29-22 09:43:29 PDT","Jun-29-23 09:43:29 PDT","Other Handlebars, Grips & Controls","178009","","","NEW","","US","313037929993","0313037929993","Does not apply"
"403859808503",Universal Motorcycle Handlebar Grips For Motorcycles Motocross Dirt Bike E-Bike,Color=Black;Brown;Light Brown;Sand,,"40","FIXED_PRICE","USD",15.69,,,15.69,"0","","1","","Aug-30-22 22:19:44 PDT","Jun-30-23 22:19:44 PDT","Grips, Covers & Pads","178006","","","NEW","","US","","",""
