Listing title,eBay item ID,Current promoted listings status,Quantity available,Total impressions on eBay site,Top 20 search slot impressions from promoted listings,% change in top 20 search slot impressions from promoted listings,Top 20 search slot organic impressions,% change in top 20 search slot impressions,Rest of search slot impressions,Non-search promoted listings impressions,% Change in non-search promoted listings impressions,Non-search organic impressions,% Change in non-search organic impressions,Total promoted listings impressions (applies to eBay site only),Total organic impressions on eBay site,Total page views,Page views via promoted listings impressions on eBay site,"Page views via promoted listings Impressions from outside eBay (search engines, affilliates)",Page views via organic impressions on eBay site,Page views from organic impressions outside eBay (Includes page views from search engines),Click-through rate = Page views from eBay site/Total impressions,Quantity sold,Sales conversion rate = Quantity sold/Total page views
For Traxxas Slash 4x4 4WD Rustler 21pcs Bearings Kit Rubber Sealed ABEC-5,314075686831,Non-promoted,10,361,3,-72.70%,12,-37.50%,50,211,-33.90%,85,-44.10%,218,143,0,0,0,0,0,0.00%,0,-
For Arrma 1/8 Kraton/Typhon/Mojave 22pcs Bearings Kit Rubber Sealed ABEC-5,314075721363,Non-promoted,10,244,0,-100.00%,2,-50.00%,43,140,-38.10%,59,-11.90%,147,97,0,0,0,0,0,0.00%,0,-
Beitian BN-880/BN880 Dual GPS Receiver Navigation Module,314080292037,Non-promoted,10,212,20,11.10%,31,6.30%,87,37,42.30%,37,12.10%,74,138,1,1,0,0,0,0.50%,0,0.00%
Steel Rope Hood Support Straps For 1/10 RC Crawler TRX-4 TRX4 Axial SCX10,314098921039,Non-promoted,10,125,0,-,0,-100.00%,27,27,-65.40%,71,86.80%,31,94,3,1,1,0,1,0.80%,0,0.00%
Front and Rear LED Lights For 1/10 Traxxas Rustler 4X4 VXL XL-5,314111884233,Non-promoted,10,"1,846",19,-17.40%,42,22.00%,103,"1,590",-18.00%,92,-14.00%,"1,625",221,8,2,0,6,0,0.40%,0,0.00%
Front and Rear LED Light Kit/Bar For 1/10 Traxxas Maxx RC Truck/Car,314111884235,Non-promoted,10,"1,609",3,-40.00%,23,-21.20%,110,"1,066",-50.80%,407,-36.70%,"1,089",520,5,1,0,4,0,0.30%,0,0.00%
FS2A-4CH 2A Mini Compatible Receiver PWM Output for Flysky i6 i6X i6S Controller,314115329000,Non-promoted,10,112,0,-,6,-73.90%,45,23,-54.00%,38,-33.30%,26,86,3,0,0,0,3,0.00%,0,0.00%
Beitian BN-180 Dual GPS Receiver Navigation Module For RC Racing FPV Drones,314126551738,Non-promoted,10,245,0,-100.00%,16,-57.90%,96,96,15.70%,37,-45.60%,105,140,0,0,0,0,0,0.00%,0,-
1/10 Toyota Corolla AE86 Clear RC Body Shell For 1/10 RC Drift Cars MST Yokomo,314136566429,Non-promoted,10,"6,843",135,-40.50%,221,-18.50%,881,"4,378",-53.30%,"1,228",-3.50%,"4,918","1,925",47,11,0,30,6,0.60%,0,0.00%
1/10 Toyota Celica GT-4 Clear RC Body Shell For 1/10 RC Drift Cars MST Yokomo,314136566776,Non-promoted,10,"7,271",128,-26.90%,107,-18.10%,722,"5,223",-52.80%,"1,091",11.90%,"5,661","1,610",38,6,0,12,20,0.30%,0,0.00%
1/10 Supra GR Rocket Bunny Clear RC Body Shell For 1/10 Drift Car MST Yokomo HPI,314136567460,Non-promoted,10,"5,546",74,-49.70%,78,-40.60%,577,"4,217",-44.70%,600,-28.60%,"4,601",945,18,11,1,6,0,0.30%,0,0.00%
1/10 BMW E30 M3 Clear RC Body Shell For 1/10 RC Drift Cars MST Yokomo,314136567462,Non-promoted,10,"6,430",80,-49.00%,167,-30.00%,740,"4,502",-56.90%,941,-7.40%,"4,882","1,548",35,12,1,12,10,0.40%,0,0.00%
1/10 Nismo Silvia S15 Clear RC Body Shell for MST Yokomo 1/10 RC Drift Cars,314136567467,Non-promoted,10,"63,921",977,-30.00%,"2,666",-47.50%,"4,584","42,113",-57.50%,"13,581",-25.60%,"43,909","20,012",367,100,15,209,43,0.50%,6,1.60%
1/10 Nismo GTR R35 Clear RC Body Shell For 1/10 RC Drift Cars MST Yokomo Tamiya,314136567471,Non-promoted,10,"12,085",35,-58.30%,95,-56.80%,480,"10,507",-54.90%,968,-45.10%,"10,698","1,387",22,9,0,12,1,0.20%,0,0.00%
