"﻿Some details are not available for inactive listings and campaigns."
""
"Start date","End date","Campaign name","Campaign ID","Campaign start date","Campaign end date","Item ID","Title","Price (Current or Last Price)","Quantity available","Listing start date","Listing end date","Promoted Listings Impressions (via eBay Placements)","Total Promoted Listings Clicks","Total Promoted Listings Sold quantity","Organic Sold Quantity","Total Quantity Sold","Promoted Listings Conversion rate (Promoted Listings Sold quantity/Promoted Listings Clicks)","Promoted Listings Contribution (Promoted Listings Sold quantity/Total Quantity Sold)","Total Promoted Listings Sales","Ad fees","Return on Ad spend (Sales/Ad fees)","Average cost per sale","Promoted Listings Clicks (via eBay placements)","Promoted Listings Clicks (via external placements)","Promoted Listings Sold Quantity (via eBay placements)","Promoted Listings Sold Quantity (via external placements)","Promoted Listings Sales (via eBay placements)","Promoted Listings Sales (via external placements)","Ad fees (via eBay placements)","Ad fees (via external placements)","Promoted Listings Conversion Rate (via eBay placements)","Promoted Listings Conversion Rate (via external placements)","Organic Clicks","Organic Impressions"
"Jun 05, 2023","Jun 06, 2023","Campaign Mar 01 2023, 22:31:49","13580451015","Mar 01, 2023","","404172568020","SPTA 5PCS Car Detail Brush Wash Auto Detailing Cleaning Kit Engine Wheel Brushes","$ 20.98","10","Feb 20, 2023","Jun 20, 2023","45","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","0"
"Jun 05, 2023","Jun 06, 2023","US Campaign Jun 15, 2022 18:15:08","12986415015","Jun 15, 2022","","403881257588","SONOFF Zigbee 3.0 USB Dongle Plus Stick Smart Universal ZHA Gateway Home Bridge","$ 9.93","30","Sep 29, 2022","Jun 11, 2023","24","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","1","68"
"Jun 05, 2023","Jun 06, 2023","US Campaign Jun 15, 2022 18:15:08","12986415015","Jun 15, 2022","","403868475343","Snow Foam Car Washer Spray Nozzles Set M22 1/4" Quick Release Connector","$ 27.53","10","Sep 29, 2022","Jul 04, 2023","12","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","12"
"Jun 05, 2023","Jun 06, 2023","Campaign Apr 09 2023, 20:31:48","13680635015","Apr 09, 2023","","404238946554","Smart Pixel Clock Social Media Subscriber Followers Count Clock  Pixel Display","$ 67.98","10","May 04, 2023","Jun 09, 2023","7","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","8"
"Jun 05, 2023","Jun 06, 2023","US Campaign Sep 29 2022, 09:19:39","13220607015","Sep 29, 2022","","403973486287","Smart Digital Laser Tape Measure 100ft/30m Smart Tape Measure Distance Meter","$ 56.99","10","Nov 02, 2022","Jul 02, 2023","18","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","4"
"Jun 05, 2023","Jun 06, 2023","US Campaign Nov 04 2022, 10:08:39","13302420015","Nov 04, 2022","","404082995239","Silicone Kitchen Utensils Set Wooden Handles Spatula Set Cooking Utensils","$ 16.98","110","Dec 30, 2022","Jun 30, 2023","2","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","7"
"Jun 05, 2023","Jun 06, 2023","Campaign Mar 02 2023, 14:28:22","13582066015","Mar 02, 2023","","404185912810","Silicone Faucet Mat - Splash Catcher for Kitchen/Bathroom Sinks","$ 15.98","0","May 01, 2023","Jul 02, 2023","0","0","0","","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","","","$ 0.00","","0.00%","0.00%","0",""
"Jun 05, 2023","Jun 06, 2023","Campaign Mar 01 2023, 22:31:49","13580451015","Mar 01, 2023","","404184727523","Short Stunt Clutch Lever for CBR F2 F3 F4 F4I 650F 1000RR CRF 250R 450R CR 125R","$ 31.98","60","Mar 01, 2023","Jul 01, 2023","14","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","2"
"Jun 05, 2023","Jun 06, 2023","US Campaign Jun 15, 2022 18:15:08","12986415015","Jun 15, 2022","","403881076710","SEATBELT LEASH Dog Pet Car Safety Belt Harness Collar Restraint Lead Adjustable","$ 5.75","80","Sep 29, 2022","Jun 11, 2023","27","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","3"
"Jun 05, 2023","Jun 06, 2023","Campaign Feb 07 2023, 09:50:34","13524293015","Feb 07, 2023","","404123048081","ROCKBROS Smart Bike Tail Light Auto Brake Sensing Waterproof USB Rechargeable","$ 24.98","60","Jan 23, 2023","Jun 23, 2023","8","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","1"
"Jun 05, 2023","Jun 06, 2023","Campaign Feb 07 2023, 09:50:34","13524293015","Feb 07, 2023","","404123253272","RGBIC LED Neon Rope Light with Music Sync, Smart App, Alexa & Google Compatible","$ 68.98","40","Jan 23, 2023","Jun 23, 2023","15","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","14"
"Jun 05, 2023","Jun 06, 2023","Campaign Feb 07 2023, 09:50:34","13524293015","Feb 07, 2023","","404123322934","RGB5050 USB Powered TV Backlight - Compatible with 24-60 inch TVs & Mirrors","$ 21.98","0","Mar 29, 2023","Jun 23, 2023","0","0","0","","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","","","$ 0.00","","0.00%","0.00%","0",""
"Jun 05, 2023","Jun 06, 2023","Campaign Feb 07 2023, 09:50:34","13524293015","Feb 07, 2023","","404123366094","RGB 5050 Bluetooth LED Strip Lights Flexible Ribbon, DIY, DC 12V Indoor/Outdoor","$ 17.98","90","Mar 11, 2023","Jun 23, 2023","0","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","1"
"Jun 05, 2023","Jun 06, 2023","Campaign Mar 05 2023, 13:59:06","13587767015","Mar 05, 2023","","404189774099","Replacement Flex Cables For Switch Joy-Con Repair Parts Button Flex Cable","$ 12.98","70","Apr 04, 2023","Jul 05, 2023","34","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","1","15"
"Jun 05, 2023","Jun 06, 2023","Campaign Jan 20 2023, 14:01:32","13488147015","Jan 20, 2023","","404117498264","Remote Car Key M3N32337100 315Mhz For GMC/Chevrolet Silverado 1500 2500 3500 ","$ 22.98","40","Jan 20, 2023","Jun 20, 2023","6","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","1","0"
"Jun 05, 2023","Jun 06, 2023","US Campaign Jun 15, 2022 18:15:08","12986415015","Jun 15, 2022","","403844819500","Powerful Mini Cordless Handheld Vacuum Cleaner Car Home Desk USB Rechargeable","$ 27.79","10","Aug 21, 2022","Jun 21, 2023","6","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","7"
"Jun 05, 2023","Jun 06, 2023","US Campaign Jun 15, 2022 18:15:08","12986415015","Jun 15, 2022","","403844676430","Portable Paperless Drip/Pourover Coffee Maker Perfect For Camping/Office/Home","$ 30.98","19","Sep 29, 2022","Jun 21, 2023","35","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","14"
